index, x, y, layer, weight, rho, delta, nh, isSeed, clusterId
92, -87.810, -35.030, 0, 1.000, 60.500,  3.74, 709, 0, 12
93, -97.020, 24.480, 0, 1.000, 56.000,  3.08, 428, 0, 12
94, -61.970, 62.990, 0, 1.000, 60.000,  5.27, 696, 0, 14
95, -124.680, 45.170, 0, 1.000, 42.000,  3.92, 241, 0, 12
96, -74.240, -36.150, 0, 1.000, 60.500,  2.18, 418, 0, 12
97, -46.190, -55.460, 0, 1.000, 44.000,   4.5, 463, 0, 12
98, -36.850, -79.690, 0, 1.000, 30.500,  4.94, 572, 0, 12
99, 169.160, -143.030, 0, 1.000, 54.000,  2.26, 201, 0, 2
100, 228.740, -219.730, 0, 1.000, 8.500,  10.8, 29, 0, 2
101, 185.290, -149.620, 0, 1.000, 47.500,  6.23, 276, 0, 2
102, -68.050, 122.340, 0, 1.000, 56.000,  5.39, 596, 0, 14
103, -59.420, 71.080, 0, 1.000, 62.000,  4.46, 606, 0, 14
104, -98.720, 16.770, 0, 1.000, 59.500,  2.07, 784, 0, 12
105, 150.800, -101.800, 0, 1.000, 61.500,   2.2, 450, 0, 2
106, -47.720, 14.190, 0, 1.000, 35.000,  18.1, 820, 0, 14
107, 144.470, -145.540, 0, 1.000, 46.000,  2.13, 580, 0, 2
108, 120.150, -73.050, 0, 1.000, 60.000,  1.74, 785, 0, 2
109, -49.200, -35.190, 0, 1.000, 47.500,  3.02, 659, 0, 12
110, 150.670, -123.450, 0, 1.000, 65.000, 1.84e+19, -1, 1, 0
111, -97.930, -13.040, 0, 1.000, 63.000,   2.6, 275, 0, 12
112, -141.250, 43.200, 0, 1.000, 33.500,  2.97, 77, 0, 12
113, 183.990, -177.340, 0, 1.000, 33.000,  1.64, 142, 0, 2
114, -111.710, 5.110, 0, 1.000, 56.500,  2.69, 250, 0, 12
115, 179.220, -158.960, 0, 1.000, 47.000,  5.26, 251, 0, 2
116, -12.240, 10.120, 0, 1.000, 27.500,  5.01, 288, 0, 14
117, -130.710, 24.610, 0, 1.000, 46.000,  6.28, 818, 0, 12
118, -76.860, -7.560, 0, 1.000, 66.000,  4.86, 575, 0, 12
119, 183.850, -174.740, 0, 1.000, 35.500,  3.65, 44, 0, 2
120, 160.240, -155.400, 0, 1.000, 46.500,   1.6, 165, 0, 2
121, -58.710, -40.540, 0, 1.000, 52.000,  2.13, 729, 0, 12
122, -14.380, 20.900, 0, 1.000, 31.000,  2.38, 870, 0, 14
123, -44.380, 63.830, 0, 1.000, 63.000, 0.388, 665, 0, 14
124, -66.110, 73.250, 0, 1.000, 64.000,   1.3, 550, 0, 14
125, 150.050, -106.240, 0, 1.000, 64.000,  4.13, 564, 0, 2
126, -86.700, 127.130, 0, 1.000, 53.500,  1.94, 70, 0, 14
127, 105.500, -22.270, 0, 1.000, 28.500,  3.34, 997, 0, 2
128, -101.800, 11.900, 0, 1.000, 60.000, 0.934, 988, 0, 12
129, -0.830, 1.320, 0, 1.000, 20.000,  3.89, 440, 0, 14
130, -30.170, -79.350, 0, 1.000, 29.000,  4.24, 990, 0, 12
131, -29.770, -94.970, 0, 1.000, 22.000,  8.05, 283, 0, 12
132, -107.180, -15.560, 0, 1.000, 55.500,  5.67, 323, 0, 12
133, -85.730, -17.010, 0, 1.000, 65.500,  2.75, 320, 0, 12
134, -130.410, 147.720, 0, 1.000, 24.000,  4.66, 868, 0, 14
135, -99.070, 8.360, 0, 1.000, 60.000, 0.434, 801, 0, 12
136, 86.950, -63.580, 0, 1.000, 41.500,  4.15, 146, 0, 2
137, -12.830, 34.260, 0, 1.000, 40.000,  6.41, 755, 0, 14
138, -92.920, -21.730, 0, 1.000, 62.000,  4.57, 582, 0, 12
139, -119.210, 186.610, 0, 1.000, 15.500,  3.65, 885, 0, 14
140, -94.480, 132.100, 0, 1.000, 54.500,  5.64, 683, 0, 14
141, -36.140, 47.110, 0, 1.000, 52.500,  3.42, 240, 0, 14
142, 182.350, -177.360, 0, 1.000, 33.500,  3.02, 119, 0, 2
143, -109.710, 139.460, 0, 1.000, 44.000,  5.86, 694, 0, 14
144, -107.600, 133.150, 0, 1.000, 49.000,  1.71, 697, 0, 14
145, 158.450, -110.850, 0, 1.000, 60.500,  4.33, 456, 0, 2
146, 90.990, -62.620, 0, 1.000, 43.500, 0.672, 589, 0, 2
147, -105.490, 158.090, 0, 1.000, 30.500,  2.95, 382, 0, 14
148, -155.520, 61.000, 0, 1.000, 24.000,  12.8, 532, 0, 12
149, -77.930, 1.490, 0, 1.000, 62.500,  2.14, 397, 0, 12
150, -99.930, 6.740, 0, 1.000, 59.500,  1.07, 257, 0, 12
151, 169.570, -139.320, 0, 1.000, 54.000,  1.03, 788, 0, 2
152, -106.760, 21.350, 0, 1.000, 59.000,  2.37, 754, 0, 12
153, -55.620, -71.690, 0, 1.000, 38.000,  2.88, 419, 0, 12
154, 82.450, -27.430, 0, 1.000, 31.000,  1.86, 960, 0, 2
155, -42.530, 82.430, 0, 1.000, 61.000,  4.31, 342, 0, 14
156, -40.950, -84.870, 0, 1.000, 29.500,  2.48, 767, 0, 12
157, -34.290, 76.040, 0, 1.000, 57.000,  6.01, 330, 0, 14
158, -43.750, 53.260, 0, 1.000, 58.000,  4.71, 535, 0, 14
159, 150.870, -113.220, 0, 1.000, 63.000,  2.18, 761, 0, 2
160, -72.530, 103.680, 0, 1.000, 71.500,  3.17, 757, 0, 14
161, 23.730, -35.670, 0, 1.000, 7.000,  12.2, 857, 0, 2
162, -52.430, -32.810, 0, 1.000, 48.500,  1.82, 659, 0, 12
163, -87.680, -15.570, 0, 1.000, 64.000,  2.42, 133, 0, 12
164, 103.520, -61.730, 0, 1.000, 51.500,  2.96, 340, 0, 2
165, 161.090, -154.050, 0, 1.000, 48.000, 0.661, 591, 0, 2
166, -7.480, -2.540, 0, 1.000, 19.500,  5.24, 211, 0, 14
167, -2.310, -137.180, 0, 1.000, 8.500,  5.17, 794, 0, 12
168, -70.730, 115.210, 0, 1.000, 61.500,  2.26, 73, 0, 14
169, 191.450, -166.440, 0, 1.000, 38.500,  7.21, 181, 0, 2
170, 200.980, -155.110, 0, 1.000, 37.000,   7.6, 181, 0, 2
171, 71.530, -5.940, 0, 1.000, 18.000,  5.79, 17, 0, 2
172, 132.760, -104.130, 0, 1.000, 60.000,  2.83, 513, 0, 2
173, 194.810, -189.400, 0, 1.000, 26.500,  5.03, 369, 0, 2
174, -101.160, 137.530, 0, 1.000, 50.500,  1.63, 264, 0, 14
175, -35.850, -102.920, 0, 1.000, 20.500,  7.69, 576, 0, 12
176, 123.740, -74.820, 0, 1.000, 62.000,  1.21, 304, 0, 2
177, 43.310, 53.830, 0, 1.000, 4.000,  3.61, 486, 0, 2
178, -104.280, 115.560, 0, 1.000, 55.500,  2.44, 810, 0, 14
179, 135.970, -88.580, 0, 1.000, 63.000,  6.68, 619, 0, 2
180, -78.340, -19.300, 0, 1.000, 66.000,  2.52, 748, 0, 12
181, 196.290, -161.090, 0, 1.000, 38.500,  9.45, 42, 0, 2
182, 165.150, -146.080, 0, 1.000, 53.000,   1.4, 856, 0, 2
183, 153.430, -138.480, 0, 1.000, 57.000, 0.0447, 451, 0, 2
184, -61.840, -68.620, 0, 1.000, 41.000,  8.99, 552, 0, 12
185, -67.680, 91.940, 0, 1.000, 71.500,  5.89, 471, 0, 14
186, -1.600, -129.200, 0, 1.000, 8.500,  3.75, 794, 0, 12
187, 105.530, -45.280, 0, 1.000, 46.000,  1.83, 395, 0, 2
188, -96.900, 107.960, 0, 1.000, 59.000,  1.42, 607, 0, 14
189, 87.980, -3.820, 0, 1.000, 17.000,  13.2, 516, 0, 2
190, 123.170, -88.320, 0, 1.000, 63.000,  1.85, 827, 0, 2
191, 116.590, -93.140, 0, 1.000, 61.000,  5.16, 570, 0, 2
192, -96.110, 135.700, 0, 1.000, 51.500,  3.63, 28, 0, 14
193, -100.890, 108.220, 0, 1.000, 56.500,  3.29, 524, 0, 14
194, -98.050, -3.290, 0, 1.000, 62.000,  2.13, 47, 0, 12
195, -68.000, -74.750, 0, 1.000, 33.000,  6.04, 16, 0, 12
196, -13.030, -77.270, 0, 1.000, 17.500,  5.73, 210, 0, 12
197, -98.140, -16.140, 0, 1.000, 62.000,  3.11, 111, 0, 12
198, -69.930, 89.410, 0, 1.000, 70.500,  2.88, 352, 0, 14
199, 111.240, -88.920, 0, 1.000, 56.000,  1.55, 258, 0, 2
200, -73.400, -31.430, 0, 1.000, 63.000,  2.55, 309, 0, 12
201, 167.180, -144.110, 0, 1.000, 54.000,  3.52, 449, 0, 2
202, -112.840, 147.990, 0, 1.000, 33.500,  5.36, 331, 0, 14
203, -156.690, 65.570, 0, 1.000, 23.000,  1.93, 826, 0, 12
204, 107.560, -90.690, 0, 1.000, 54.500,  4.08, 199, 0, 2
205, 128.650, -87.660, 0, 1.000, 62.500,  2.47, 739, 0, 2
206, -11.530, -112.070, 0, 1.000, 16.500,  9.38, 656, 0, 12
207, -90.010, 120.170, 0, 1.000, 57.500,  4.12, 239, 0, 14
208, 99.220, -52.420, 0, 1.000, 48.000,  3.62, 730, 0, 2
209, -110.730, 123.560, 0, 1.000, 49.500,   7.1, 731, 0, 14
210, -11.680, -82.840, 0, 1.000, 17.500,  5.58, 266, 0, 12
211, -9.500, 2.290, 0, 1.000, 22.000,  7.21, 49, 0, 14
212, 118.010, -59.340, 0, 1.000, 51.500,  1.58, 727, 0, 2
213, -97.360, 99.070, 0, 1.000, 63.500,  6.25, 733, 0, 14
214, 169.390, -136.180, 0, 1.000, 55.000,  3.46, 646, 0, 2
215, -131.640, 169.640, 0, 1.000, 18.000,  5.89, 393, 0, 14
216, 135.930, -113.760, 0, 1.000, 62.000,  1.17, 793, 0, 2
217, -22.600, -124.180, 0, 1.000, 14.000,  11.9, 764, 0, 12
218, -55.540, -54.640, 0, 1.000, 47.500,  5.57, 357, 0, 12
219, -41.480, 59.740, 0, 1.000, 62.000,  5.01, 123, 0, 14
220, -18.600, -90.090, 0, 1.000, 19.500,  4.63, 266, 0, 12
221, 169.610, -159.940, 0, 1.000, 47.000,  5.55, 251, 0, 2
222, -143.550, 51.670, 0, 1.000, 31.000,  4.78, 36, 0, 12
223, 136.610, -57.860, 0, 1.000, 41.000,  14.3, 468, 0, 2
224, -53.180, 66.790, 0, 1.000, 63.000,  4.57, 721, 0, 14
225, -76.960, 113.810, 0, 1.000, 63.500,  1.89, 335, 0, 14
226, -41.430, 78.100, 0, 1.000, 59.500,     1, 487, 0, 14
227, 96.360, -44.580, 0, 1.000, 42.500,  1.89, 671, 0, 2
228, -172.040, 96.520, 0, 1.000, 16.000,  12.2, 58, 0, 12
229, -93.900, 31.420, 0, 1.000, 50.500,  4.87, 328, 0, 12
230, 0.570, 0.080, 0, 1.000, 19.000,  1.87, 129, 0, 14
231, 122.890, -73.610, 0, 1.000, 62.000,  0.93, 304, 0, 2
232, -116.600, 150.560, 0, 1.000, 31.000,  4.55, 202, 0, 14
233, -43.940, 51.920, 0, 1.000, 57.500,   0.7, 769, 0, 14
234, -69.340, -40.850, 0, 1.000, 54.500,   2.2, 772, 0, 12
235, 130.700, -79.870, 0, 1.000, 63.500,  6.65, 739, 0, 2
236, -52.840, 85.890, 0, 1.000, 66.500,  3.52, 698, 0, 14
237, -111.370, 71.510, 0, 1.000, 35.000,  14.7, 687, 0, 14
238, -91.000, 110.310, 0, 1.000, 62.000,  4.11, 24, 0, 14
239, -86.020, 121.200, 0, 1.000, 58.000,  5.14, 372, 0, 14
240, -34.400, 50.050, 0, 1.000, 53.500,  1.53, 82, 0, 14
241, -122.810, 41.730, 0, 1.000, 44.000,   3.4, 817, 0, 12
242, -13.560, 20.120, 0, 1.000, 30.500,  1.13, 122, 0, 14
243, -104.280, 30.970, 0, 1.000, 52.500,  3.69, 302, 0, 12
244, -111.990, 162.240, 0, 1.000, 27.500,  2.91, 22, 0, 14
245, -83.000, 111.910, 0, 1.000, 63.500,  1.37, 59, 0, 14
246, -89.190, -17.590, 0, 1.000, 64.500,  3.51, 133, 0, 12
247, -27.620, -102.040, 0, 1.000, 20.000,  6.13, 525, 0, 12
248, -44.240, -67.950, 0, 1.000, 39.500,  8.54, 0, 0, 12
249, 196.560, -163.330, 0, 1.000, 36.500,  2.26, 181, 0, 2
250, -112.020, 2.440, 0, 1.000, 56.500,  5.75, 839, 0, 12
251, 174.820, -161.840, 0, 1.000, 47.000,  8.31, 1, 0, 2
252, -122.960, 53.640, 0, 1.000, 37.500,  5.91, 91, 0, 12
253, -157.200, 68.300, 0, 1.000, 23.000,  1.33, 826, 0, 12
254, -64.490, 56.670, 0, 1.000, 56.500,  5.82, 514, 0, 14
255, -20.420, 22.190, 0, 1.000, 36.500,  4.07, 720, 0, 14
256, 107.100, -72.750, 0, 1.000, 54.500, 0.646, 819, 0, 2
257, -98.890, 6.470, 0, 1.000, 59.500,   1.9, 135, 0, 12
258, 111.290, -87.370, 0, 1.000, 56.500,  3.97, 860, 0, 2
259, -182.070, 114.450, 0, 1.000, 12.000,  9.45, 544, 0, 12
260, -112.330, 30.380, 0, 1.000, 51.500,  5.67, 874, 0, 12
261, -83.240, 138.860, 0, 1.000, 50.000,  5.85, 667, 0, 14
262, -42.450, -72.040, 0, 1.000, 36.000,  4.46, 248, 0, 12
263, 159.400, -104.100, 0, 1.000, 59.500,  6.82, 145, 0, 2
264, -100.320, 136.130, 0, 1.000, 50.500,  4.23, 192, 0, 14
265, -13.280, -146.460, 0, 1.000, 7.000,  13.5, 967, 0, 12
266, -16.170, -86.150, 0, 1.000, 19.500,    12, 283, 0, 12
267, 121.720, -80.220, 0, 1.000, 64.000,  34.5, 433, 0, 2
268, -92.590, 106.120, 0, 1.000, 63.000, 0.607, 24, 0, 14
269, -111.740, 177.710, 0, 1.000, 18.500,  15.5, 244, 0, 14
270, 122.230, -63.030, 0, 1.000, 52.000,  3.18, 468, 0, 2
271, -82.710, 89.980, 0, 1.000, 66.500,  3.68, 14, 0, 14
272, -66.160, -1.400, 0, 1.000, 54.000,  11.3, 751, 0, 12
273, -98.870, 126.970, 0, 1.000, 54.000,  5.34, 79, 0, 14
274, -131.840, 167.590, 0, 1.000, 17.500,  2.06, 215, 0, 14
275, -96.970, -10.620, 0, 1.000, 63.500,  3.11, 392, 0, 12
276, 181.540, -144.650, 0, 1.000, 49.500,  3.46, 716, 0, 2
277, -61.030, 94.440, 0, 1.000, 68.500,  3.68, 386, 0, 14
278, -29.170, 55.730, 0, 1.000, 52.500,  6.13, 447, 0, 14
279, -53.710, -81.380, 0, 1.000, 30.500,  7.39, 508, 0, 12
280, 115.470, -63.380, 0, 1.000, 52.500,   3.6, 727, 0, 2
281, -34.450, -81.400, 0, 1.000, 30.000,  2.95, 98, 0, 12
282, 107.590, -58.000, 0, 1.000, 52.500,  2.92, 340, 0, 2
283, -28.160, -87.080, 0, 1.000, 22.500,  7.99, 130, 0, 12
284, 128.650, -98.740, 0, 1.000, 62.000,  2.99, 430, 0, 2
285, -116.680, 45.890, 0, 1.000, 43.500,  2.26, 714, 0, 12
286, -50.520, 47.210, 0, 1.000, 57.000,  5.41, 474, 0, 14
287, -142.110, 65.600, 0, 1.000, 29.000,  4.38, 774, 0, 12
288, -13.070, 15.060, 0, 1.000, 28.500,  5.08, 242, 0, 14
289, 134.530, -106.740, 0, 1.000, 61.500,  3.17, 493, 0, 2
290, 169.580, -115.970, 0, 1.000, 57.000,  4.58, 5, 0, 2
291, -49.810, 76.500, 0, 1.000, 64.000,  6.91, 588, 0, 14
292, -95.970, 117.570, 0, 1.000, 56.000,  1.38, 688, 0, 14
293, -204.520, 134.430, 0, 1.000, 6.000,  12.6, 930, 0, 12
294, -79.170, 88.830, 0, 1.000, 71.000,  0.14, 14, 0, 14
295, 152.200, -132.190, 0, 1.000, 61.000,  4.67, 476, 0, 2
296, 10.340, -20.980, 0, 1.000, 11.500,  11.5, 915, 0, 14
297, -52.920, -63.720, 0, 1.000, 43.500,  6.13, 552, 0, 12
298, 152.410, -123.180, 0, 1.000, 64.000,  1.76, 110, 0, 2
299, -4.210, -5.670, 0, 1.000, 18.500,  4.53, 166, 0, 14
300, -87.090, -1.370, 0, 1.000, 64.500,   2.3, 710, 0, 12
301, -7.640, -145.590, 0, 1.000, 6.500,  5.71, 265, 0, 12
302, -105.760, 27.590, 0, 1.000, 57.000,  1.63, 90, 0, 12
303, -64.980, -45.490, 0, 1.000, 52.500, 0.465, 626, 0, 12
304, 123.820, -73.610, 0, 1.000, 62.500,  4.96, 43, 0, 2
305, -92.790, 105.030, 0, 1.000, 63.000,  1.51, 24, 0, 14
306, 138.230, -120.050, 0, 1.000, 59.000,  5.15, 863, 0, 2
307, -87.700, 97.690, 0, 1.000, 67.000,  7.41, 454, 0, 14
308, -91.910, 9.040, 0, 1.000, 59.500, 0.503, 816, 0, 12
309, -73.850, -33.940, 0, 1.000, 63.000,  8.92, 571, 0, 12
310, -121.180, 34.390, 0, 1.000, 49.500,  9.23, 507, 0, 12
311, -97.800, 17.150, 0, 1.000, 59.000, 0.995, 104, 0, 12
312, -66.120, -44.960, 0, 1.000, 52.000,  1.26, 303, 0, 12
313, -51.530, -41.860, 0, 1.000, 47.000,  5.75, 677, 0, 12
314, -161.710, 72.630, 0, 1.000, 19.000,  6.11, 475, 0, 12
315, -102.790, 4.480, 0, 1.000, 59.000,  3.65, 150, 0, 12
316, -73.210, -27.550, 0, 1.000, 61.500,  2.67, 571, 0, 12
317, -80.250, 116.600, 0, 1.000, 61.500,  3.44, 372, 0, 14
318, -87.290, 4.580, 0, 1.000, 61.000,  2.34, 556, 0, 12
319, 48.370, -29.290, 0, 1.000, 14.000,  13.3, 850, 0, 2
320, -83.280, -18.250, 0, 1.000, 66.500,  7.65, 575, 0, 12
321, 159.490, -142.830, 0, 1.000, 53.000, 0.999, 862, 0, 2
322, 184.870, -141.480, 0, 1.000, 47.500,  3.56, 479, 0, 2
323, -103.990, -10.870, 0, 1.000, 59.000,  3.08, 506, 0, 12
324, -37.690, 54.060, 0, 1.000, 57.500,  3.34, 535, 0, 14
325, 141.770, -104.390, 0, 1.000, 62.000,  0.16, 732, 0, 2
326, -78.680, 107.560, 0, 1.000, 67.500, 0.689, 888, 0, 14
327, 133.270, -100.190, 0, 1.000, 61.500,  4.68, 961, 0, 2
328, -98.760, 31.110, 0, 1.000, 51.500,  5.52, 243, 0, 12
329, -92.530, -10.900, 0, 1.000, 64.500,   3.6, 392, 0, 12
330, -39.230, 72.610, 0, 1.000, 61.000,  5.52, 61, 0, 14
331, -109.200, 151.920, 0, 1.000, 34.500,  6.71, 429, 0, 14
332, 110.960, -59.640, 0, 1.000, 51.500,  3.75, 282, 0, 2
333, -70.160, -44.340, 0, 1.000, 52.500,  3.59, 234, 0, 12
334, -20.620, 39.230, 0, 1.000, 44.000,  3.49, 702, 0, 14
335, -78.280, 112.460, 0, 1.000, 64.500,  4.92, 326, 0, 14
336, -68.870, 4.100, 0, 1.000, 50.000,  6.13, 272, 0, 12
337, -46.760, 45.510, 0, 1.000, 56.500,  3.27, 474, 0, 14
338, -38.080, -45.510, 0, 1.000, 40.500,  9.33, 611, 0, 12
339, -90.230, 135.380, 0, 1.000, 53.000,  3.29, 683, 0, 14
340, 104.880, -59.100, 0, 1.000, 53.000,  13.2, 819, 0, 2
341, 181.240, -166.280, 0, 1.000, 44.000,  3.51, 411, 0, 2
342, -45.690, 79.500, 0, 1.000, 62.500,  2.27, 521, 0, 14
343, 137.570, -104.610, 0, 1.000, 61.000,  2.82, 763, 0, 2
344, -84.510, 105.990, 0, 1.000, 66.000,  1.64, 684, 0, 14
345, 147.700, -95.770, 0, 1.000, 57.500,  2.82, 559, 0, 2
346, 220.180, -191.470, 0, 1.000, 19.500,  9.89, 795, 0, 2
347, -120.490, 138.750, 0, 1.000, 36.000,  10.8, 143, 0, 14
348, 122.300, -83.360, 0, 1.000, 63.500,  3.19, 267, 0, 2
349, 129.860, -102.860, 0, 1.000, 61.000,  4.22, 919, 0, 2
350, -127.890, 30.700, 0, 1.000, 46.500, 0.546, 818, 0, 12
351, -71.550, 71.000, 0, 1.000, 62.000,  3.55, 622, 0, 14
352, -67.270, 88.310, 0, 1.000, 70.500,  3.65, 185, 0, 14
353, 112.300, -75.990, 0, 1.000, 56.000,  2.31, 584, 0, 2
354, -26.050, 33.520, 0, 1.000, 43.500, 0.565, 601, 0, 14
355, -16.380, -62.490, 0, 1.000, 18.500,  17.5, 990, 0, 12
356, 138.050, -97.240, 0, 1.000, 62.500,  3.23, 961, 0, 2
